Title, Year, MinPlayers, MaxPlayers, SuggestedPlayers, SuggestedAge, PlayTime, AvgRating, GeekRating
"Pandemic Legacy: Season 1", 2015, 2, 4, 4.0, 12.0, 60, 8.66742, 8.48091
"Through the Ages: A New Story of Civilization", 2015, 2, 4, 3.0, 14.0, 240, 8.76323, 8.31042
"Twilight Struggle", 2005, 2, 2, 2.0, 14.0, 180, 8.3577, 8.22177
"Terra Mystica", 2012, 2, 5, 4.0, 14.0, 150, 8.29399, 8.15197
"Star Wars: Rebellion", 2016, 2, 4, 2.0, 14.0, 240, 8.56161, 8.14434
"Scythe", 2016, 1, 5, 4.0, 12.0, 115, 8.34496, 8.08726
"7 Wonders Duel", 2015, 2, 2, 2.0, 10.0, 30, 8.19876, 8.02778
"Caverna: The Cave Farmers", 2013, 1, 7, 4.0, 12.0, 210, 8.18945, 8.01629
"The Castles of Burgundy", 2011, 2, 4, 2.0, 12.0, 90, 8.11074, 7.9939
"Puerto Rico", 2002, 2, 5, 4.0, 12.0, 150, 8.09409, 7.98759
"Gloomhaven", 2017, 1, 4, 3.0, 14.0, 150, 9.22044, 7.98864
"Agricola", 2007, 1, 5, 4.0, 12.0, 150, 8.05955, 7.96793
"War of the Ring (Second Edition)", 2012, 2, 4, 2.0, 14.0, 180, 8.38871, 7.95714
"Terraforming Mars", 2016, 1, 5, 3.0, 10.0, 120, 8.36992, 7.96094
"Mage Knight Board Game", 2011, 1, 4, 1.0, 14.0, 150, 8.13726, 7.94073
"Through the Ages: A Story of Civilization", 2006, 2, 4, 3.0, 14.0, 240, 8.09628, 7.93316
"Blood Rage", 2015, 2, 4, 4.0, 12.0, 90, 8.16681, 7.93046
"Star Wars: Imperial Assault", 2014, 2, 5, 5.0, 12.0, 120, 8.21474, 7.90553
"Power Grid", 2004, 2, 6, 4.0, 12.0, 120, 7.94825, 7.86866
"Eclipse", 2011, 2, 6, 4.0, 12.0, 200, 8.01855, 7.8628
"Robinson Crusoe: Adventures on the Cursed Island", 2012, 1, 4, 3.0, 12.0, 180, 8.01975, 7.84302
"Mansions of Madness: Second Edition", 2016, 1, 5, 4.0, 12.0, 180, 8.34244, 7.8429
"Android: Netrunner", 2012, 2, 2, 2.0, 12.0, 45, 8.01199, 7.83134
"Mechs vs. Minions", 2016, 2, 4, 4.0, 10.0, 90, 8.40973, 7.81503
"Le Havre", 2008, 1, 5, 3.0, 12.0, 150, 7.93336, 7.81202
"Codenames", 2015, 2, 8, 6.0, 10.0, 15, 7.91772, 7.81054
"Brass: Lancashire", 2007, 2, 4, 4.0, 14.0, 180, 8.0072, 7.81003
"T.I.M.E Stories", 2015, 2, 4, 4.0, 14.0, 90, 8.06814, 7.80117
"Food Chain Magnate", 2015, 2, 5, 3.0, 14.0, 240, 8.28012, 7.79952
"Tzolk'in: The Mayan Calendar", 2012, 2, 4, 4.0, 12.0, 90, 7.94635, 7.80042
"Orléans", 2014, 2, 4, 4.0, 12.0, 90, 8.06917, 7.78959
"7 Wonders", 2010, 2, 7, 4.0, 10.0, 30, 7.83896, 7.75344
"Keyflower", 2012, 2, 6, 4.0, 12.0, 120, 7.94372, 7.75347
"Concordia", 2013, 2, 5, 4.0, 12.0, 100, 7.97449, 7.74962
"Arkham Horror: The Card Game", 2016, 1, 2, 2.0, 14.0, 120, 8.41869, 7.74909
"Great Western Trail", 2016, 2, 4, 3.0, 12.0, 150, 8.27269, 7.74652
"Viticulture Essential Edition", 2015, 1, 6, 4.0, 12.0, 90, 8.20194, 7.73768
"The Voyages of Marco Polo", 2015, 2, 4, 4.0, 12.0, 100, 7.99527, 7.73182
